id,movie_id,genre_id
481,216015,10749
482,216015,53
483,425,16
484,425,35
485,425,10751
486,425,12
487,14161,28
488,14161,12
489,14161,878
490,18240,35
491,18240,10749
492,18240,18
493,260514,16
494,260514,12
495,260514,35
496,260514,10751
497,32657,12
498,32657,14
499,32657,10751
500,8960,14
501,8960,28
502,706972,28
503,706972,18
504,706972,80
505,68726,28
506,68726,878
507,68726,12
508,260346,53
509,260346,28
510,557,14
511,557,28
512,2062,16
513,2062,35
514,2062,10751
515,2062,14
516,604822,28
517,604822,12
518,604822,80
519,632632,16
520,632632,18
521,632632,10402
522,632632,10749
523,503736,28
524,503736,80
525,503736,27
526,503736,53
527,10198,10749
528,10198,10751
529,10198,16
530,568160,16
531,568160,18
532,568160,14
533,568160,10749
534,529106,28
535,529106,12
536,3933,10749
537,3933,14
538,3933,16
539,10144,16
540,10144,10751
541,10144,14
542,109445,16
543,109445,10751
544,109445,12
545,109445,14
546,439079,27
547,439079,9648
548,439079,53
549,576845,53
550,576845,27
551,576845,9648
552,214756,35
553,522627,80
554,522627,28
555,522627,35
556,863,16
557,863,35
558,863,10751
559,22832,28
560,574060,28
561,574060,80
562,574060,53
563,8966,14
564,8966,18
565,8966,10749
566,301528,10751
567,301528,12
568,301528,16
569,301528,35
570,301528,14
571,301528,18
572,72190,28
573,72190,18
574,72190,27
575,72190,878
576,72190,53
577,72545,12
578,72545,28
579,72545,878
580,630004,80
581,630004,28
582,630004,53
583,228150,10752
584,228150,18
585,228150,28
586,681887,28
587,681887,12
588,681887,878
589,11224,10751
590,11224,14
591,11224,16
592,11224,10749
593,98566,878
594,98566,28
595,98566,12
596,98566,35
597,1726,28
598,1726,878
599,1726,12
600,475557,80
601,475557,53
602,475557,18
603,630586,27
604,630586,53
605,10674,16
606,10674,10751
607,10674,12
608,168259,28
609,168259,53
610,168259,80
611,168259,12
612,436931,10751
613,436931,16
614,436931,12
615,436931,14
616,4247,35
617,559,14
618,559,28
619,559,12
620,9637,9648
621,9637,12
622,9637,35
623,591273,9648
624,591273,27
625,619778,53
626,619778,27
627,619778,9648
628,68721,28
629,68721,12
630,68721,878
631,157336,12
632,157336,18
633,157336,878
634,676845,27
635,644495,18
636,644495,80
637,644495,53
638,503314,28
639,503314,878
640,503314,16
641,38757,16
642,38757,10751
643,628704,53
644,49013,16
645,49013,10751
646,49013,12
647,49013,35
648,283995,12
649,283995,28
650,283995,878
651,296096,18
652,296096,10749
653,740925,27
654,740925,53
655,740925,9648
656,420818,12
657,420818,10751
658,420818,16
659,420818,18
660,614917,18
661,614917,36
662,76338,28
663,76338,12
664,76338,14
665,645788,28
666,645788,53
667,297802,28
668,297802,12
669,297802,14
670,602734,27
671,602734,80
672,602734,9648
673,420809,10751
674,420809,14
675,420809,12
676,845222,18
677,845222,14
678,845222,53
679,646380,35
680,646380,18
681,646380,878
682,572154,16
683,572154,35
684,572154,10749
685,572154,18
686,572154,14
687,11322,28
688,11322,80
689,102651,14
690,102651,12
691,102651,28
692,102651,10751
693,102651,10749
694,35,16
695,35,35
696,35,10751
697,378064,16
698,378064,18
699,378064,10749
700,373571,878
701,373571,28
702,591274,9648
703,591274,27
704,333339,878
705,333339,12
706,333339,28
707,82690,10751
708,82690,16
709,82690,35
710,82690,12
711,324857,28
712,324857,12
713,324857,16
714,324857,878
715,617708,53
716,617708,27
717,617708,18
718,27205,28
719,27205,878
720,27205,12
721,1771,28
722,1771,12
723,1771,878
724,335797,16
725,335797,35
726,335797,10751
727,335797,10402
728,43347,18
729,43347,35
730,43347,10749
731,512200,12
732,512200,35
733,512200,14
734,396535,28
735,396535,27
736,396535,53
737,294254,878
738,294254,28
739,294254,53
740,294254,12
741,336843,878
742,336843,28
743,336843,12
744,336843,53
745,617502,28
746,617502,53
747,10196,28
748,10196,12
749,10196,14
750,76341,28
751,76341,12
752,76341,878
753,404368,10751
754,404368,16
755,404368,35
756,404368,12
757,299537,28
758,299537,12
759,299537,878
760,82675,28
761,82675,80
762,82675,53
763,581387,28
764,581387,12
765,581387,53
766,665251,16
767,665251,878
768,50620,12
769,50620,14
770,50620,18
771,50620,10749
772,586047,878
773,586047,28
774,8355,16
775,8355,35
776,8355,10751
777,8355,12
778,49051,12
779,49051,14
780,49051,28
781,268896,28
782,268896,14
783,268896,878
784,268896,12
785,14160,16
786,14160,35
787,14160,10751
788,14160,12
789,50619,12
790,50619,14
791,50619,10749
792,260513,28
793,260513,12
794,260513,16
795,260513,10751
796,10193,16
797,10193,10751
798,10193,35
799,131631,878
800,131631,12
801,131631,53
802,91314,878
803,91314,28
804,91314,12
805,480530,18
806,120,12
807,120,14
808,120,28
809,287947,28
810,287947,35
811,287947,14
812,12,16
813,12,10751
814,254128,28
815,254128,18
816,254128,53
817,49530,28
818,49530,53
819,49530,878
820,411,12
821,411,10751
822,411,14
823,4248,35
824,49026,28
825,49026,80
826,49026,18
827,49026,53
828,72105,35
829,72105,14
830,585216,27
831,585216,53
832,585216,9648
833,75780,80
834,75780,18
835,75780,53
836,75780,28
837,121,12
838,121,14
839,121,28
840,9836,16
841,9836,35
842,9836,10751
843,57800,16
844,57800,35
845,57800,12
846,57800,10751
847,521029,27
